INFO:root:Namespace(aggregation='average', batch_size=256, debug=False, device=device(type='cuda'), dropout=0.1, epochs=100, hidden_size=128, in_features=17, kernel_size=3, log_dir='exps/logs', lr=0.0001, model='TCN', num_channels=[64, 64, 128], num_classes=2, num_layers=2, num_workers=4, print_freq=5, root='data', save_dir='exps/chpts/TCN_layers2_stride5_average_lr0.0001', seed=14, start_epoch=0, tb_dir='exps/tb/TCN_layers2_stride5_average_lr0.0001', temp_stride=5)
INFO:root:TemporalConvNet(
  (conv): Conv1d(17, 64, kernel_size=(14,), stride=(7,), padding=(7,))
  (layers): ModuleList(
    (0): Sequential(
      (0): Conv1d(17, 64, kernel_size=(14,), stride=(7,), padding=(7,))
      (1): Chomp1d()
      (2): ReLU()
    )
    (1): TemporalBlock(
      (conv1): Conv1d(64, 64, kernel_size=(3,), stride=(1,), padding=(4,), dilation=(2,))
      (conv2): Conv1d(64, 64, kernel_size=(3,), stride=(1,), padding=(4,), dilation=(2,))
      (layers): ModuleList(
        (0): Sequential(
          (0): Conv1d(64, 64, kernel_size=(3,), stride=(1,), padding=(4,), dilation=(2,))
          (1): Chomp1d()
          (2): ReLU()
          (3): Dropout(p=0.1, inplace=False)
        )
        (1): Sequential(
          (0): Conv1d(64, 64, kernel_size=(3,), stride=(1,), padding=(4,), dilation=(2,))
          (1): Chomp1d()
          (2): ReLU()
          (3): Dropout(p=0.1, inplace=False)
        )
      )
      (relu): ReLU()
    )
    (2): TemporalBlock(
      (conv1): Conv1d(64, 128, kernel_size=(3,), stride=(1,), padding=(8,), dilation=(4,))
      (conv2): Conv1d(128, 128, kernel_size=(3,), stride=(1,), padding=(8,), dilation=(4,))
      (layers): ModuleList(
        (0): Sequential(
          (0): Conv1d(64, 128, kernel_size=(3,), stride=(1,), padding=(8,), dilation=(4,))
          (1): Chomp1d()
          (2): ReLU()
          (3): Dropout(p=0.1, inplace=False)
        )
        (1): Sequential(
          (0): Conv1d(128, 128, kernel_size=(3,), stride=(1,), padding=(8,), dilation=(4,))
          (1): Chomp1d()
          (2): ReLU()
          (3): Dropout(p=0.1, inplace=False)
        )
      )
      (downsample): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (relu): ReLU()
    )
  )
  (pooling): AdaptiveAvgPool1d(output_size=1)
  (fc): Linear(in_features=128, out_features=2, bias=True)
)
INFO:root:=> Loading 2396 samples for train
INFO:root:=> Loading 313 samples for val
INFO:root:=> Loading 583 samples for test
INFO:root:TRAIN | Epoch: [0/100] | Loss: 0.6931 | AP: 40.46 | TP:98.91, FP:150.80, FN:0.00, TN:0.00 | ACC: 39.36
INFO:root:VAL   | Epoch: [0/100] | Loss: 0.6913 | AP: 48.31 | TP:129.0, FP:184.0, FN:0.0, TN:0.0 | ACC: 41.21
INFO:root:=> AP improved (48.31) improved at epoch 0 | saving best model!
INFO:root:TRAIN | Epoch: [1/100] | Loss: 0.6923 | AP: 46.89 | TP:97.20, FP:149.88, FN:0.61, TN:2.01 | ACC: 39.98
INFO:root:VAL   | Epoch: [1/100] | Loss: 0.6913 | AP: 47.06 | TP:125.0, FP:176.0, FN:4.0, TN:8.0 | ACC: 42.49
INFO:root:TRAIN | Epoch: [2/100] | Loss: 0.6914 | AP: 48.27 | TP:94.77, FP:144.44, FN:3.31, TN:7.18 | ACC: 41.03
INFO:root:VAL   | Epoch: [2/100] | Loss: 0.6919 | AP: 41.70 | TP:123.0, FP:172.0, FN:6.0, TN:12.0 | ACC: 43.13
INFO:root:TRAIN | Epoch: [3/100] | Loss: 0.6906 | AP: 48.43 | TP:89.69, FP:129.06, FN:8.81, TN:22.15 | ACC: 44.78
INFO:root:VAL   | Epoch: [3/100] | Loss: 0.6924 | AP: 40.65 | TP:110.0, FP:150.0, FN:19.0, TN:34.0 | ACC: 46.01
INFO:root:TRAIN | Epoch: [4/100] | Loss: 0.6893 | AP: 49.25 | TP:80.90, FP:108.59, FN:17.39, TN:42.82 | ACC: 49.58
INFO:root:VAL   | Epoch: [4/100] | Loss: 0.6933 | AP: 39.35 | TP:98.0, FP:137.0, FN:31.0, TN:47.0 | ACC: 46.33
INFO:root:TRAIN | Epoch: [5/100] | Loss: 0.6879 | AP: 48.78 | TP:78.53, FP:103.14, FN:19.83, TN:48.21 | ACC: 50.71
INFO:root:VAL   | Epoch: [5/100] | Loss: 0.6952 | AP: 37.77 | TP:94.0, FP:139.0, FN:35.0, TN:45.0 | ACC: 44.41
INFO:root:TRAIN | Epoch: [6/100] | Loss: 0.6856 | AP: 48.99 | TP:78.23, FP:103.56, FN:19.93, TN:47.99 | ACC: 50.67
INFO:root:VAL   | Epoch: [6/100] | Loss: 0.6982 | AP: 37.06 | TP:87.0, FP:133.0, FN:42.0, TN:51.0 | ACC: 44.09
INFO:root:TRAIN | Epoch: [7/100] | Loss: 0.6832 | AP: 49.39 | TP:72.94, FP:93.30, FN:25.35, TN:58.11 | ACC: 52.50
INFO:root:VAL   | Epoch: [7/100] | Loss: 0.7016 | AP: 36.83 | TP:77.0, FP:125.0, FN:52.0, TN:59.0 | ACC: 43.45
INFO:root:TRAIN | Epoch: [8/100] | Loss: 0.6806 | AP: 49.72 | TP:65.07, FP:80.24, FN:33.02, TN:71.38 | ACC: 54.72
INFO:root:VAL   | Epoch: [8/100] | Loss: 0.7060 | AP: 36.88 | TP:70.0, FP:114.0, FN:59.0, TN:70.0 | ACC: 44.73
INFO:root:TRAIN | Epoch: [9/100] | Loss: 0.6778 | AP: 50.39 | TP:69.08, FP:80.53, FN:29.42, TN:70.67 | ACC: 55.63
INFO:root:VAL   | Epoch: [9/100] | Loss: 0.7139 | AP: 36.05 | TP:75.0, FP:125.0, FN:54.0, TN:59.0 | ACC: 42.81
INFO:root:TRAIN | Epoch: [10/100] | Loss: 0.6764 | AP: 50.32 | TP:64.79, FP:79.52, FN:33.36, TN:72.03 | ACC: 55.05
INFO:root:VAL   | Epoch: [10/100] | Loss: 0.7149 | AP: 36.91 | TP:67.0, FP:110.0, FN:62.0, TN:74.0 | ACC: 45.05
